_key,impressions,page_views
Austin Energy,6,0
Automation Anywhere,3,0
Avalara,8,0
Frontier Communications,781,0
AVANGRID,183,0
Frost Bank,6845,0
Avery Dennison,1908,0
AvidXchange,283,0
Avigilon,0,4
Fruit of the Loom,175,0
Gallagher,436,0
Avista,95,0
Gamesys,152,0
Garmin,5,0
Avnet,139,0
AXA,83,0
Axcess Financial Services,55,0
Axis Communications,359,0
GCI,900,0
Axon,251,0
AZZ,12,0
Babcock & Wilcox,0,6
GE Grid Solutions,4209,0
Baillie Gifford International,0,0
GE Healthcare,109,0
Ball,54,0
Banca Monte dei Paschi di Siena,2475,0
Genentech,178,0
General Dynamics Mission Systems,2353,1
General Motors Financial Company,74,0
Banca Popolare di Sondrio,0,0
Banco Santander,0,0
Generali Group,0,0
Genesis Energy,17,0
Bank of Hope,5821,0
Genetec,35,0
Bank of the West,17969,0
Genex Services,0,0
Bankunited,0,0
Genuine Parts Company,22284,0
Gigamon,16509,0
Bankwest,2,0
Gilbarco Veeder-Root,0,0
Glacier Bancorp,94,0
"Glacier Bancorp, Inc.",0,0
Banque de France,636,0
GlaxoSmithKline,71,0
Basware,39,0
Bath & Body Works,0,0
Global Payments,0,0
GlobalFoundries,0,0
GlobalLogic,0,0
Baxter International,548,0
Bayer Global,1,0
BBVA,118,0
Globant,651,0
BBVA USA,862,0
BCE,1274,0
Globe Life,5,0
GoDaddy.com,20,0
Godfather's Pizza,3907,0
Godiva,0,0
Beckman Coulter Life Sciences,0,0
BECU,11576,0
GoHealth,508,0
Belastingdienst,0,0
Belkin,38,0
Golden Gate Capital,0,0
Golden State Foods,9,0
Benefit Cosmetics,25,0
Goodyear,0,0
Graco,77,0
Grange Insurance,359,0
Great Lakes Higher Education,16,0
Benjamin Moore,403,0
Great-West Lifeco,0,0
Berkley,232,0
GreatCall,12,0
Berkshire Hathaway,1710,0
Beyondsoft,11,0
Green Dot,47,0
BGL Group,12,0
Greensky,9714,0
BHP Group,221,0
Greif,1249,0
Groupe BPCE,0,0
Binance,0,0
Groupe Credit Agricole,0,0
Bio-Rad Laboratories,0,0
BioMarin,0,0
BIOTRONIK,294,0
Black & Veatch,0,0
Groupe Mutuel,0,0
GrubHub,35,0
Guggenheim Partners,1343,0
Black Knight,11,0
Gulfstream Aerospace,0,0
Haemonetics,5,0
Hanger,148,0
Hankey Investment,0,0
Blackbaud,586,0
Blackboard,14,0
Hargreaves Lansdown,0,0
Harley Davidson,103,0
Harman,9,0
BlackLine Systems,678,0
Haverty Furniture Companies,1743,0
Hawaiian Telcom,864,0
Blattner Energy,2,0
HD Supply,38,0
BLIZZARD ENTERTAINMENT,5,0
Health Care Service Corporation,87,0
HealthEquity,16,0
Bloom Energy,369,0
HealthNow New York,0,0
HealthPartners,162,0
Blue California,0,0
Henry Schein,68,0
Heraeus Group,0,0
Hershey,0,0
Blue Cross and Blue Shield of Alabama,43,0
Hilltop Holdings,39,0
Blue Cross Blue Shield,617,0
Hitachi Capital UK,0,0
Hitachi Vantara,930,0
HM Health Solutions,188,0
HMS,1146,0
Homesite,101,0
Honeywell Intelligrated,82,0
Blue Cross Blue Shield of Massachusetts,0,0
Blue Cross Blue Shield of Michigan,22,0
Blue KC,34,0
Horizon Blue Cross Blue Shield of New Jersey,0,0
Hotwire Communications,447,0
HP Inc,0,0
HSBC Bank USA,982,0
HSM Solutions,3,0
Blue Prism,97,0
HTC Global Services,302,0
BlueCross BlueShield Arizona,0,0
Hudl,209,0
Hughes Network Systems,664,0
Huntington Ingalls Industries,44,0
Hydro Tasmania,0,0
BlueCross BlueShield of South Carolina,0,0
Hyland Software,313,0
IBA,161,0
IBC Bank,684,0
iCIMS,57,0
BlueCross BlueShield of Tennessee,26,0
BMC,91,0
ICU Medical,114,0
BMO Bank of Montreal,12,0
Idaho Central Credit Union,376,0
BMW,0,0
BNP Paribas Personal Finance UK,0,0
BNZ Bank,0,0
Bonneville Power Administration,3524,0
IDC Technologies,723,0
Booking.com,148,0
IDEXX Laboratories,2,0
Bosch,68,0
IDT,0,0
Boston Scientific,15,0
IDT Biologika,0,0
Box,47,0
Boyd Corporation,95,0
If P&C Insurance,0,0
bpost bank,0,0
BRED Banque Populaire,0,0
Bremer Financial,249,0
Bridgestone Americas,142,0
Bridgewater,4,0
IFS World Operations,0,0
IG Group,52,0
IKEA,74,0
Ilitch Holdings,24,0
Brighthouse Financial,0,0
Illumina,79,0
InComm,336,0
Independence Blue Cross,115,0
Independent Financial,2,0
Indosuez Wealth Management,0,0
Brillio,64,0
Indotronix,297,0
Bristol-Myers Squibb,0,0
Infinity Insurance,362,0
Infoblox,156,8
Infor,36,2
Broadcom,0,3
Informatica,27,0
ING Bank (Australia),0,0
Broadridge Financial Solutions,78,0
Brown & Brown Insurance,103,0
ING Group,77,0
Ingersoll Rand,0,0
Brown and Caldwell,2660,0
Brown-Forman,0,0
Inmar,144,0
Brunswick,102,0
BT Group,102,0
Inmarsat,3000,21
Bunge,34,0
Inovalon,5,0
Insperity,83,0
Insurance Australia Group,0,0
Bupa Australia,0,0
Insurance Corporation of British Columbia,0,0
Butterball,11,0
Integra LifeSciences,35,0
BWX Technologies,0,0
Byrider,1,0
C & W Communications,40,0
Intel,20,0
Intercontinental Exchange,1282,0
C Spire,88,0
Intermedia,799,0
International Personal Finance,0,0
CA Cambridge Associates,0,0
Cadence Bank,10,0
Intesa Sanpaolo,631,0
Cadence Design Systems,411,0
Invesco,967,0
Invisalign,6,0
ION,0,0
IPC Systems,0,0
IQVIA,112,0
iRhythm Technologies,209,0
CAI,0,0
IRIS Software,988,0
Caisse des D√©p√¥ts,0,0
Caliber Home Loans,417,0
iRobot,112,0
California State Teachers' Retirement System,215,0
Callaway Golf,0,0
Itron,0,0
ITT,6,0
CalPERS,0,0
J. Jill,112,0
J.B. Hunt Transport,0,0
Jack Henry & Associates,29,0
Jackson National,20,0
JAGGAER,26,0
JAMF Software,4,0
Janus Henderson Investors,191,0
Jazz Pharmaceuticals,865,0
Calpine,1107,0
Cambia Health Solutions,2,0
Canaccord Genuity Group,99,0
CardWorks,0,0
JBS USA,3,0
CareCentrix,10,0
John Crane,2699,0
CareFirst,109,0
Johns Manville,0,0
CareSource,35,0
Johnson Controls,435,0
Johnson Matthey,555,0
Cargill,89,3
Carlson,3,0
Jostens,611,0
Caterpillar,0,0
Juniper Networks,9,0
Kabam,0,0
CBCInnovis,324,0
Kaiser Aluminum,56,0
Cegid,162,0
Cembra Money Bank,0,0
KBR,0,0
Kemper Corporation,993,0
Cement Australia,0,0
Kering,1,0
Centene,14,8
Centrica,7,0
Cerner,57,0
Cerved,0,0
Keurig Dr Pepper,9,0
Charlotte Pipe and Foundry,147,0
Chesapeake Energy,2353,0
Ciena,11,0
Keysight Technologies,264,0
Cincinnati Bell,463,0
Kimberly-Clark Corporation,2535,0
KLA,383,0
Cincinnati Insurance Companies,0,0
Klarna,0,0
Cintas,102,0
Ciox,723,0
Cirrus Logic,365,0
Citizens Property Insurance Corporation,195,0
"City of Denver, CO - Denver Water",0,0
Clarivate Analytics,79,0
Koch,77,0
Komatsu Mining Corp,617,0
Cloudera,1689,0
Cloudflare,230,56
KRATOS,162,0
L.A. Care Health Plan,0,0
L'Oreal,622,0
CMS Energy,123,0
L√§nsf√∂rs√§kringar,0,0
La Banque Postale,0,0
La Maison Saint-Gobain,0,0
CoastCapital,0,0
LafargeHolcim,21,0
Lam Research,1833,0
Cobham,10,0
Lamps Plus,1350,0
Coca-Cola Company,0,0
Coca-Cola Consolidated,2788,0
Coca-Cola European Partners,2,0
Cohesity,244,0
Colgate-Palmolive,112,0
Land O'Lakes,1894,0
Landis+Gyr,0,0
Comerica,2,0
Lazard,360,0
Commonwealth Bank of Australia,21,0
LCRA,62,0
Computershare,0,0
Comtech Telecommunications,107,0
"Con Edison, Inc.",11,0
ConocoPhillips,772,0
LeasePlan,3,0
Consolidated Communications,53,0
Legg Mason,759,0
Leica Microsystems,213,0
LendingClub,37,0
Consumers Energy,0,0
Control4,26,0
Lennox International,69,0
Cook Group,54,0
Cornerstone Home Lending,313,0
Lexmark,18,0
Liberty Global,45,0
Cornerstone OnDemand,42,0
Liberty Specialty Markets,0,0
Liferay,757,0
Corning,5,0
Lincoln Financial Group,938,0
Linedata,0,0
Corsair,0,0
CORVEL,246,0
Cotiviti,91,0
COUNTRY Financial,10880,0
Coupa,188,0
Covered California,773,0
Lippert Components,39,0
LivePerson,3519,0
loanDepot,1323,0
CoverMyMeds,255,0
Logitech,0,0
LogMeIn,55,0
Cowen,1186,0
Lombard Odier,0,0
Cox Automotive,0,0
Lonza,96,5
Cox Communications,986,0
Lucid Motors USA,0,0
Luxoft,386,0
CPI Card Group,22,0
CPP Group,1,0
Luxottica,167,0
LyondellBasell,84,0
CPS Energy,204,0
M&G plc,0,0
Crate & Barrel,87,0
MACOM,96,0
Macquarie,32,0
MAG Aerospace,13,0
Magellan Health,789,0
Mallinckrodt Pharmaceuticals,19,0
Credit Acceptance,3,0
Manhattan Associates,18,0
Manitoba Hydro,0,0
Manulife Global,0,0
Credit Karma,31,0
CRH,694,0
Crocs,6,0
MAPFRE,430,0
Mapfre Insurance,4,0
Marathon Oil,5192,4
Mars,0,0
Marsh & McLennan Agency,10,0
CrossCountry Mortgage,59,0
Marvell Technology,19,0
Crown Castle,3401,0
CSG Systems International,192,0
CSR,84,0
CTIS,0,0
CUNA Mutual Group,367,0
MASONITE,196,0
Cvent,59,0
"MasterBrand Cabinets, Inc",305,0
Cypress Semiconductor,263,0
Match,16,0
D.A. Davidson Companies,0,0
MathWorks,43,0
Mattel,365,0
Daimler,6,11
Daimler Trucks North America,0,0
MBDA UK,0,0
McCormick & Company,7,0
MDU Resources Group,177,0
Mechanics Bank,5966,0
Medallia,43,0
Danaher,20,0
Medasource,56,0
Mediacom Communications,1312,0
Danfoss,0,0
DCP Midstream,2586,0
Mediaocean,6210,0
DealerSocket,4,0
Medibank,0,0
Medica,0,0
Decathlon,197,0
Medical Mutual of Ohio,370,0
Deckers Brands,0,0
Medidata Solutions,793,0
Delek US,2,0
Deltek,128,0
MedImpact Healthcare,191,0
Department of Energy - National Renewable Energy Laboratory,0,0
Medline,30,0
Medrio,223,0
Medtronic,467,0
Department of the Interior - Bureau of Reclamation,0,0
Meggitt,72,0
Desjardins Group,0,0
Meltwater Group,19,0
Menasha Packaging Company,684,0
Deutsche Bank,1406,0
Merck & Co.,26,0
Mercuria Energy Trading,0,0
Deutsche Leasing,183,0
Deutsche Telekom,678,0
Mercury Insurance,582,0
Devon Energy,2722,0
Dexcom,573,0
Mercury Systems,2,0
Meridian,659,0
Diageo,127,0
Dimensional Fund Advisors,38,0
Michael Foods,4,0
Direct Energy,31,0
Michelin,50,0
Microchip Technology,0,0
Micron Technology,2571,0
DISH,40,0
DNA,203,0
MicroStrategy,12,0
MidAmerican Energy,0,0
Midco,29,0
Milliken,13,0
Milwaukee,288,0
Mindbody,20,0
DNB,0,0
Mitel,158,0
DocuSign,9,0
Dolby Laboratories,1447,0
Dominion Energy,51,0
Moderna,481,5
Dominion Enterprises,343,0
Moen,0,0
doTERRA,2399,0
Dovenmuehle Mortgage,30,0
Dover,0,0
DraftKings,1258,0
Dropbox,1615,0
DTCC,3,0
Molina Healthcare,7,0
Moneris Solutions,74,0
Duff & Phelps Investment Management,95,0
Moody's,744,0
Morningstar,898,0
Motorola Mobility,13,0
Mountain America Credit Union,70,0
Mr. Cooper,170,0
Dun & Bradstreet,24,0
MSA Safety,0,0
Duquesne Light Company,937,0
Dynatrace,283,4
MSCI,9,0
Dyson UK,0,0
MTD Products,550,0
Mueller Water Products,136,0
MuleSoft,6163,0
E*TRADE,3163,0
East West Bank,8072,0
MultiPlan,29,0
Mutual of America Financial Group,0,0
Eastern Bank,4678,0
Mutual of Omaha,687,0
Eastlink,0,0
MVP Health Care,158,0
Eastman,315,0
Eaton,85,0
MYOB,18,0
Eaton Vance Management,91,0
Nabors Industries,6,0
NANA Regional Corporation,76,0
NAS,153,0
National Australia Bank,60,9
National Bank of Belgium,0,0
National Fuel,44,0
National Instruments,104,0
National Life Group,215,0
Ebix,421,0
National Netherlands,0,0
EchoStar,420,0
National Oilwell Varco,0,0
National Westminster Bank,0,0
eClinicalWorks,2,0
Nationwide,2330,2
EDF Energy,491,0
Nationwide Building Society,0,0
Natixis,0,0
Edgewell Personal Care,0,0
Edison International,4,0
Naval Group,0,0
Navisite,79,0
nbn,238,6
NCR,62,0
Nelnet,66,0
Nestl√©,0,0
NetEnt,42,0
Nets A/S,0,0
NETSCOUT,2,0
Netskope,2,0
Netsmart,0,0
New Era Technology,14,0
New Relic,450,0
New York Life Insurance,4842,0
Nexius,318,0
Nexstar Media Group,351,0
NextEra Energy,247,1
NextGen Healthcare,15,0
Nextiva,29,0
NIC,385,0
Nintendo of America,0,0
Noble Energy,44,0
Nokia,618,11
Nordea,162,0
Nordson,5,0
Nortek,115,0
North American Bancard,452,0
Northern Trust,17,0
NOVA Chemicals,233,0
Novartis,23,0
Novelis,1,0
Novo Nordisk,6,0
Nu Skin Enterprises,87,0
Nuance Communications,0,0
Nutanix,6,0
Nutrien,0,0
NuVasive,3,0
NVIDIA,3299,0
NXP Semiconductors,294,0
NY Power Authority,0,0
O2,699,0
Occidental Petroleum Corporation,693,0
Oceaneering International,385,0
OCS,63,0
Oil States International,2,0
Okta,1,0
Oldcastle Infrastructure,1170,0
Omaha Public Power District,708,0
Omnicell,20,0
Omnitracs,48,0
ON Semiconductor,84,0
ONE Gas,15,0
ONEOK,24,0
Oppenheimer,1641,0
Orange,548,0
Orlando Utilities Commission,3,0
Oscar Health Insurance,0,0
Otis Worldwide,0,0
Owens Corning,358,2
Palantir,0,0
Pall,0,0
Pandora,4721,1
Pandora Media,982,0
PAREXEL,66,0
Park National,48,0
Paycom,277,0
Paycor,0,0
Paylocity,62,0
Paysafe,2,0
Pegasystems,67,0
Peloton Interactive,5473,0
Pentagon Federal Credit Union,478,0
Pentair,115,0
Penumbra,61,0
People's United Bank,4846,0
PepsiCo,2040,0
Perforce Software,286,0
Pernod Ricard,13,0
Pershing,1049,0
Petco Animal Supplies,12532,0
PGI,246,0
Pharmacyclics,1,0
Philip Morris International,691,0
Philips,11,0
Phillips 66,17020,0
Physicians Mutual Insurance,2,0
PIMCO,30,0
Pinellas County Supervisor,0,0
Ping Identity,77,0
Pinnacle Financial Partners,69,0
Pioneer Natural Resources,0,0
PLS Financial,2487,0
Plusnet,0,0
Plymouth Rock Assurance,27,0
Point72,0,0
Polaris,1260,0
Post Holdings,1113,0
PostFinance,0,0
PowerSchool,3,0
PPG,339,0
PPL Corporation,227,0
PRA Health Sciences,68,0
Precision Castparts,53,6
Premera Blue Cross,134,0
Premier,51,0
Presidio,287,0
Prime Therapeutics,0,0
Primerica,5217,0
Primus Global Services,17,0
Priority Health,66,0
Procore,178,0
Progrexion,6,0
ProQuest,89,0
PROS,824,0
Proto Labs,819,0
Provident Financial Group,33,0
Prudential,2450,0
PSCU,23,0
PSE,86,0
PSEG,0,0
PSG Global Solutions,33,0
PSP Investments,54,0
Pure Storage,343,0
Q2,7,0
QBE,19,0
Quicken Loans,1500,2
Quotient,45,0
R&D Systems,0,0
Rabobank,252,0
Rackspace Technology,1,0
Radian,807,0
Rally Health,15,0
Razer,8,0
Realogy,41,0
RealPage,4,0
Red Bull,0,0
Red Hat,92,2
Refinitiv,2501,3
Regal Beloit,0,0
Regeneron Pharmaceuticals,78,0
Reinsurance Group of America,281,0
Relativity,728,0
Republic Services,39,0
Reserve Bank of Australia,137,0
ResMed,43,0
Revlon,381,0
Rheem Manufacturing Company,157,0
Ria Financial Services,993,0
Rijkswaterstaat,0,0
RingCentral,5,0
Riot Games,69,0
Riverbed,0,0
RMS,0,0
Robinhood,511,0
Roche,0,0
Rogers Communications,0,0
Roku,141,0
Rolex,15,0
Rolls-Royce,0,0
Rosetta Stone,1,0
Royal KPN,0,0
RSA Canada,0,0
RTE,232,0
Russell Investments,21,0
Ryan Specialty Group,1041,0
Saba,239,0
Sabre,61,0
Sage,11,0
SAIF,1070,0
SailPoint Technologies,6,0
Saipem,1,0
San Antonio Water System,14,0
Sanofi,0,0
Santander Consumer USA,691,0
Santos,3,0
SAP,37,0
SAP Concur,0,0
SAP NS2,29,0
SAS,168,0
SaskPower,0,0
SaskTel,0,15
SBA Communications,9,0
SC Johnson,59,0
Schlumberger,28,1
Schneider Electric,1265,1
SchoolsFirst Federal Credit Union,335,0
Schweitzer Engineering Laboratories,0,0
Scientific Games,1536,0
Scientific Research,101,0
Seagate,619,0
Sealed Air,24,0
Seattle Genetics,0,0
Sedgwick,613,0
Seismic Software,347,0
Sensata Technologies,5,0
Sentry,64,0
Servus Credit Union,128,0
SES,61,0
Sharecare,66,0
SharkNinja,1,0
Shaw,48,0
Shaw Industries Group,1925,0
Shell,2,0
Shift4 Payments,24,0
SICPA Holding,0,0
Siemens,113,0
Sierra Nevada Corporation,344,49
Sierra-Cedar,220,0
SIG,36,0
Sig Sauer,0,0
SIG Susquehanna,0,0
Signature Bank,10541,0
Silicon Labs,132,0
Silicon Valley Bank,3404,0
Simplot,37,0
Singtel Optus,0,0
SITA,18,0
Sizmek,0,0
Skandia,1,0
SKF,0,0
Skillsoft,123,2
Sky Italia S.r.l.,0,2
Sky UK,0,0
Slack Technologies,485,0
Sleep Number,119,0
SMBC Aviation Capital,0,0
SmileDirectClub,0,0
Snap-On,12,0
SoCalGas,88,0
Softvision,143,0
Software AG,157,0
Sonepar,1365,0
Sonepar USA,0,0
SpaceX,161,0
Sparebank 1 Gruppen,0,0
SpotOn,335,0
Sprinklr,868,0
Squarespace,54,0
SRP,1,0
SS&C Technologies,1969,0
SSAB,5,0
Standard Chartered,0,0
Standard Life Assurance,0,0
Starr Insurance Companies,0,0
State Auto,30,0
State Compensation Insurance Fund,439,0
Stedin,0,0
Stericycle,59,0
Stewart,66,0
Stifel,419,0
STMicroelectronics,77,0
Suddenlink Communications,840,0
SumTotal,167,0
Sun Life,0,0
Suncorp Group,103,0
SunPower,0,0
Sunrun,754,0
SunTrust Bank,184,0
Suva,3,0
Swarovski,1218,0
SWBC,414,0
SWIFT,97,0
Swiss Re,778,0
Swisscom,4,0
Sydney Water,0,0
Symcor,30,0
Symphony Retail Ai,0,0
Synaptics,16,0
Synchronoss,83,0
Synchrony Bank,4619,0
Synopsys,428,0
Synovus Financial,441,0
Tableau,0,0
Tabula Rasa Healthcare,41,0
Take-Two Interactive Software,979,0
TalkTalk,100,0
Tangerine,420,0
TCF Financial Corporation,0,0
TD Auto Finance,277,0
TD Bank Group,665,0
TDS,32,0
TE Connectivity,6,0
TECO,173,0
Tektronix,0,0
Teladoc,392,0
Telef√≥nica,0,0
Telenor Group,0,0
Telia,0,0
Telstra,0,0
Temenos SA,0,0
Tempus,24,0
Tenneco,11,0
Teradata,729,0
Tesco Bank,0,0
Texas Instruments,22,0
Textron,0,0
Thales,8,9
The Aerospace Corporation,868,2
The Carlyle Group,265,0
The Container Store,1,0
The Estee Lauder Companies Inc.,6533,0
The Federal Savings Bank,236,0
The Laurentian Bank of Canada,0,0
The Sempra Energy,0,0
The Stars Group,5,0
The Vanguard Group,12,0
Therma-Tru,79,0
Third Federal Savings,2448,0
Thryv,2426,0
TIAA Bank,215,0
TIBCO Software,647,0
Tiffany & Co.,7443,0
TMX Group,17,0
TNS,0,0
Toast,175,0
Toronto Hydro,2,0
TPG,11,0
TPx,15,0
TransAlta,26,0
Transamerica,871,0
TransCentra,14,0
TravelCLICK,10,0
Travelex,29,0
Travelport,63,0
Trimble,4,0
Trinity Industries,250,0
TriWest Healthcare Alliance,0,0
TSYS,175,0
T-Systems International,0,0
TTM Technologies,1,0
Tucson Electric Power,0,0
Tufts Associated Health Plans,527,0
Tupperware Brands,11,0
Twilio,0,0
Two Sigma Investments,196,0
Tyler Technologies,72,0
Tyson Foods,198,0
U.S. Cellular,0,0
U.S. Steel,0,0
Ubisoft,47,0
UBS,2266,0
UDR,4,0
Ultra Clean Technology,12,0
Umb Financial,1588,0
UniCredit,250,0
Unilever,126,0
Union Bank,956,0
United Healthcare,0,0
United States Environmental Protection Agency,17,0
Unitymedia,0,0
Univ√©,0,0
Univar Solutions,18,0
UPMC,8912,0
UPM-Kymmene,5,0
URENCO,168,0
US Bancorp,41,0
USANA Health Sciences,33,0
Valeo,0,0
Valero,0,0
Valley,33,0
Vanquis Bank,0,0
Varian Medical Systems,65,0
Vattenfall,0,0
Vectrus,100,0
Veolia North America,196,0
VeriFone,7,0
Verint,0,0
Vertex,445,0
Vertex Aerospace,0,0
Vertu,209,0
VF Corporation,0,0
ViaSat,417,0
Viavi Solutions,857,0
Victaulic,115,0
Videojet Technologies,302,0
Videotron,0,0
VIG,0,0
Virtu Financial,2,0
Vision Service Plan,157,0
Vitamix,0,0
Vitech,370,0
Vizient,118,0
VMware,140,0
Vodafone Group,0,0
Volkswagen,8,0
Vonage,21913,0
Voya Financial,263,0
VSE,158,0
Vulcan Materials,4,0
W.W. Grainger,0,0
Washington Gas Resources,242,0
Washington Suburban Sanitary Commission,288,0
Washington Trust Bank,2311,0
Waste Management,808,0
Wawanesa Insurance,0,0
Weatherford International,21,0
Webster Bank,13450,0
Weir Group,9,0
WellCare,560,0
Wellmark,288,0
WellSky,9,0
West Fraser,80,0
Western Power Distribution,0,0
Westfield Insurance,333,0
Westlake Financial,4,0
Westpac,246,0
WEX,22,0
Weyerhaeuser,10,0
Windstream Communications,17,0
Wood Mackenzie,62,0
Workday,438,0
Workfront,92,0
Workiva,8,0
World Bank Group,0,0
World Fuel Services,250,0
WorldRemit,445,0
WOW!,34,0
Xaxis,1696,0
Xero,0,0
Xfinity,2825,0
Xilinx,283,0
Xoriant,40,0
Xperi,658,0
Xplornet Communications,0,0
XTO Energy,89,0
Young Living Essential Oils,1606,0
Zayo Group,111,0
Zebra Technologies Corporation,402,0
Zendesk,110,0
ZeniMax Media,22,0
Zeta,81,0
Zillow Group,127,0
Zions Bancorporation,24,0
ZOLL Medical,901,0
Zoom Video Communications,193,0
Zuora,8,0
Zurich Insurance,6398,0
Zurich North America,10,0
Zynga,683,0
